2026/09/23 05:06:04.690, 2730 MHz, 330.21 W, 72, 100 %
2026/09/23 05:06:04.790, 2730 MHz, 330.21 W, 72, 100 %
2026/09/23 05:06:04.890, 2730 MHz, 330.21 W, 72, 100 %
2026/09/23 05:06:04.990, 2730 MHz, 338.03 W, 70, 100 %
2026/09/23 05:06:05.090, 2730 MHz, 338.03 W, 70, 100 %
2026/09/23 05:06:05.191, 2730 MHz, 338.03 W, 70, 100 %
2026/09/23 05:06:05.291, 2730 MHz, 338.03 W, 70, 100 %
2026/09/23 05:06:05.391, 2730 MHz, 338.03 W, 70, 100 %
2026/09/23 05:06:05.491, 2730 MHz, 344.01 W, 72, 100 %
2026/09/23 05:06:05.591, 2730 MHz, 344.01 W, 72, 100 %
2026/09/23 05:06:05.691, 2730 MHz, 344.01 W, 72, 100 %
2026/09/23 05:06:05.791, 2730 MHz, 344.01 W, 72, 100 %
2026/09/23 05:06:05.891, 2730 MHz, 344.01 W, 72, 100 %
2026/09/23 05:06:05.991, 2730 MHz, 299.18 W, 66, 100 %
2026/09/23 05:06:06.092, 2730 MHz, 299.18 W, 66, 100 %
2026/09/23 05:06:06.192, 2730 MHz, 299.18 W, 66, 100 %
2026/09/23 05:06:06.292, 2730 MHz, 299.18 W, 66, 100 %
2026/09/23 05:06:06.392, 2730 MHz, 299.18 W, 66, 100 %
2026/09/23 05:06:06.492, 2730 MHz, 248.46 W, 70, 100 %
2026/09/23 05:06:06.592, 2730 MHz, 248.46 W, 70, 100 %
2026/09/23 05:06:06.692, 2730 MHz, 248.46 W, 70, 100 %
2026/09/23 05:06:06.792, 2730 MHz, 248.46 W, 70, 100 %
2026/09/23 05:06:06.892, 2730 MHz, 248.46 W, 70, 100 %
2026/09/23 05:06:06.993, 2730 MHz, 276.95 W, 68, 100 %
2026/09/23 05:06:07.093, 2730 MHz, 276.95 W, 68, 100 %
2026/09/23 05:06:07.193, 2730 MHz, 276.95 W, 68, 100 %
2026/09/23 05:06:07.293, 2730 MHz, 276.95 W, 68, 100 %
2026/09/23 05:06:07.393, 2730 MHz, 276.95 W, 68, 100 %
2026/09/23 05:06:07.493, 2730 MHz, 326.27 W, 66, 100 %
2026/09/23 05:06:07.593, 2730 MHz, 326.27 W, 66, 100 %
2026/09/23 05:06:07.693, 2730 MHz, 326.27 W, 66, 100 %
